CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,Segment
17850.0,301,2,35,2,5288.630000000009,0,4,High-Value
14527.0,2,0,86,2,7711.379999999953,0,2,Mid-Value
13767.0,1,0,52,2,16945.71000000001,0,2,Mid-Value
12921.0,3,0,50,2,16389.740000000016,0,2,Mid-Value
13468.0,1,0,41,2,5656.750000000002,0,2,Mid-Value
17381.0,8,0,30,2,20272.42999999999,0,2,Mid-Value
14180.0,10,0,31,2,4640.769999999999,0,2,Mid-Value
17581.0,0,0,31,2,10736.109999999991,0,2,Mid-Value
12971.0,3,0,89,2,10930.259999999998,0,2,Mid-Value
17757.0,0,0,31,2,5585.4899999999925,0,2,Mid-Value
17961.0,20,0,39,2,1296.4400000000012,0,2,Mid-Value
17243.0,0,0,30,2,8628.55,0,2,Mid-Value
18109.0,1,0,31,2,7925.319999999997,0,2,Mid-Value
16839.0,8,0,39,2,15357.779999999988,0,2,Mid-Value
18118.0,10,0,31,2,5595.76999999997,0,2,Mid-Value
17677.0,1,0,43,2,16219.22,0,2,Mid-Value
17428.0,0,0,33,2,17078.450000000004,0,2,Mid-Value
15039.0,9,0,52,2,19786.43999999997,0,2,Mid-Value
15078.0,6,0,38,2,9623.350000000022,0,2,Mid-Value
13319.0,4,0,36,2,10664.33999999999,0,2,Mid-Value
15498.0,0,0,35,2,12396.459999999994,0,2,Mid-Value
17675.0,0,0,41,2,20098.09999999997,0,2,Mid-Value
13078.0,0,0,43,2,12432.279999999997,0,2,Mid-Value
13599.0,0,0,33,2,5030.5999999999985,0,2,Mid-Value
13199.0,3,0,39,2,9803.960000000003,0,2,Mid-Value
13113.0,0,0,40,2,10510.000000000007,0,2,Mid-Value
15005.0,15,0,35,2,6180.489999999992,0,2,Mid-Value
15856.0,3,0,31,2,16173.670000000002,0,2,Mid-Value
15159.0,1,0,34,2,18573.68000000001,0,2,Mid-Value
13534.0,1,0,43,2,5613.080000000015,0,2,Mid-Value
14735.0,3,0,34,2,5807.69,0,2,Mid-Value
17315.0,0,0,43,2,6204.459999999995,0,2,Mid-Value
17811.0,3,0,51,2,7677.709999999991,0,2,Mid-Value
15189.0,0,0,53,2,15802.140000000009,0,2,Mid-Value
13263.0,0,0,35,2,7454.069999999956,0,2,Mid-Value
16133.0,3,0,46,2,14305.66,0,2,Mid-Value
14194.0,4,0,32,2,11216.74999999999,0,2,Mid-Value
12901.0,8,0,36,2,16293.099999999997,0,2,Mid-Value
15100.0,329,2,6,0,635.1,0,2,Mid-Value
18074.0,373,2,1,0,489.6,0,2,Mid-Value
16250.0,260,2,2,0,389.44000000000005,0,2,Mid-Value
13747.0,373,2,1,0,79.6,0,2,Mid-Value
17908.0,373,2,1,0,243.2799999999999,0,2,Mid-Value
16583.0,373,2,1,0,233.45000000000002,0,2,Mid-Value
18085.0,329,2,2,0,689.95,0,2,Mid-Value
17968.0,373,2,1,0,277.34999999999997,0,2,Mid-Value
16552.0,242,2,2,0,379.72999999999996,0,2,Mid-Value
14729.0,373,2,1,0,313.48999999999995,0,2,Mid-Value
14237.0,372,2,1,0,161.00000000000003,0,2,Mid-Value
15350.0,372,2,1,0,115.65,0,2,Mid-Value
15922.0,371,2,2,0,363.6000000000001,0,2,Mid-Value
15165.0,372,2,1,0,487.75,0,2,Mid-Value
17643.0,372,2,1,0,101.55000000000001,0,2,Mid-Value
16274.0,372,2,1,0,357.94999999999993,0,2,Mid-Value
14496.0,311,2,2,0,538.8100000000001,0,2,Mid-Value
14142.0,372,2,1,0,311.81000000000006,0,2,Mid-Value
